Reaction ID,RXN type,Reactant(s)
28522963,inter_rxn_one_to_beta,"['C=Cc1ccc(Cl)cc1', 'Fc1ccc(Br)cc1']"
28522966,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'Fc1ccc(Br)cc1']"
28636058,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'O=Cc1cc(F)ccc1Br']"
28638874,inter_rxn_one_to_beta,"['C=CC(=O)Nc1ccccc1NC(=O)OC(C)(C)C', 'COC(=O)C(O)c1ccc(Br)cc1']"
28682095,inter_rxn_one_to_beta,"['C=Cc1ccc(C)cc1', 'O=[N+]([O-])c1ccc(Cl)cc1']"
29317704,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Cc1ccccc1Br']"
29808415,inter_rxn_one_to_beta,"['C=CB1OC(C)(C)C(C)(C)O1', 'Brc1ccc(CCN2CCOCC2)cc1']"
29870920,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'CCOC(=O)N1CCC(=C2c3ccccc3CCc3sc(Br)cc32)CC1']"
30065225,inter_rxn_one_to_beta,"['C=CC1CCCCC1', 'O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I']"
30448089,inter_rxn_one_to_beta,"['C=CC#N', 'O=C(O)c1ccc(I)cc1']"
30543274,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Brc1ccccc1I']"
30764900,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Cc1ccccc1I']"
30764901,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Clc1ccc(I)cc1']"
31337788,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'COC(=O)c1ncc(C)cc1Br']"
32289716,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'COc1cc(Br)c(C2OCCCO2)cc1OC']"
32289728,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1ccc(C2OCCCO2)c(Br)c1']"
32289734,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'FC(F)(F)c1ccc(Br)c(C2OCCCO2)c1']"
32366381,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Clc1ccccc1Br']"
32371968,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Brc1ccccc1I']"
34614023,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'FC(F)(F)c1cccc(Br)c1']"
35964098,inter_rxn_one_to_beta,"['C=Cc1ccc2ccccc2c1', 'Ic1ccccc1']"
36088459,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=Cc1cccc(Cl)c1']"
40606478,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'COc1cc(Br)c(C)c2nnn(C)c12']"
43796132,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Oc1ccc(-c2ccc(Br)cc2)cc1']"
44513415,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'N#Cc1ccccc1I']"
46766445,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'N#Cc1ccc(Cl)cc1']"
9263514,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'COc1c(CN(C(=O)C2CC2)c2cccc(Br)c2)ccc2c1OC(C)(C)C=C2']"
9449607,inter_rxn_one_to_beta,"['C=CC1CCCCC1', 'Brc1ccccc1']"
